Model,CV - Accuracy,CV - Precision,CV - Recall,CV - F1,CV - ROC AUC,Rank
Voting Classifier,0.8393496457109103,0.8461015724404606,0.8276129959401757,0.8242784489646002,0.9377616512171514,1.0
Gradient Boosting (Tuned),0.8377040473104266,0.8513682470683296,0.8171551963499104,0.8192020317678331,0.9359245610028489,2.0
XGBoost (Tuned),0.8358637129684106,0.8439234108199614,0.8221909543213488,0.8195727299536454,0.934391872430219,3.0
Random Forest,0.8347986189405784,0.8461603878088901,0.8152189003204334,0.8173038311665547,0.9309603381164177,4.0
Logistic Regression (Tuned),0.830440734221068,0.8530462513284572,0.7975929969907772,0.8082839829013089,0.9326011472158324,5.0
Decision Tree (Tuned),0.8118441081126692,0.8088560119985553,0.8128961330361631,0.8029456532003365,0.888857250767594,6.0
Support Vector Machine,0.6622111952070768,0.6774779233081858,0.6196015969142334,0.6471837436379488,0.7426008073431332,7.0
